Cód.,Município,Abacate,Abacaxi*,Açaí,Algodão arbóreo (em caroço),Algodão herbáceo (em caroço),Alho,Amendoim (em casca),Arroz (em casca),Aveia (em grão),Azeitona,Banana (cacho),Batata-doce,Batata-inglesa,Borracha (látex coagulado),Cacau (em amêndoa),Café (em grão) Total,Cana-de-açúcar,Caqui,Castanha de caju,Cebola,Centeio (em grão),Cevada (em grão),Chá-da-índia (folha verde),Coco-da-baía*,Dendê (cacho de coco),Erva-mate (folha verde),Ervilha (em grão),Fava (em grão),Feijão (em grão),Figo,Fumo (em folha),Girassol (em grão),Goiaba,Guaraná (semente),Juta (fibra),Laranja,Limão,Linho (semente),Maçã,Malva (fibra),Mamão,Mamona (baga),Mandioca,Manga,Maracujá,Marmelo,Melancia,Melão,Milho (em grão),Noz (fruto seco),Palmito,Pera,Pêssego,Pimenta-do-reino,Rami (fibra),Sisal ou agave (fibra),Soja (em grão),Sorgo (em grão),Tangerina,Tomate,Trigo (em grão),Triticale (em grão),Tungue (fruto seco),Urucum (semente),Uva,Total,80%,Principal
1100015,Alta Floresta D'Oeste (RO),0,100,20,0,0,0,8,405,0,0,1859,0,0,0,31,23742,0,0,0,0,0,0,0,52,0,0,0,0,480,0,0,0,30,1,0,0,58,0,0,0,40,0,10180,0,72,0,500,0,5556,0,0,0,0,0,0,0,4915,0,4,1750,0,0,0,0,0,49803,"39842,4",Café (em grão) Total
1100023,Ariquemes (RO),0,416,50,0,0,0,0,3120,0,0,2997,0,0,0,219,227,721,0,0,0,0,0,0,40,0,0,0,0,1,0,0,0,35,3,0,61,40,0,0,0,58,0,2775,0,151,0,392,0,11400,0,0,0,0,0,0,0,31732,0,0,67,0,0,0,12,0,54517,"43613,6",Soja (em grão)
1100031,Cabixi (RO),0,55,0,0,0,0,1,4320,0,0,138,0,0,0,5,65,330,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,100,24,0,0,0,13,0,434,0,9,0,98,0,96948,0,0,0,0,0,0,0,108000,0,0,0,0,0,0,100,0,210660,168528,Soja (em grão)
1100049,Cacoal (RO),0,1955,0,0,0,0,5,24,0,0,6000,0,0,0,51,13503,1000,0,0,0,0,0,0,260,0,0,0,0,60,0,0,0,180,2,0,0,305,0,0,0,1230,0,6048,0,180,0,500,0,5280,0,0,0,0,14,0,0,9378,0,26,350,0,0,0,16,0,46367,"37093,6",Café (em grão) Total
1100056,Cerejeiras (RO),0,505,0,0,0,0,6,748,0,0,108,0,0,0,1,101,583,0,0,0,0,0,0,24,0,0,0,0,3,0,0,0,11,0,0,0,25,0,0,0,54,0,1640,0,27,0,600,0,138819,0,0,0,0,0,0,0,130000,0,0,50,0,0,0,18,0,273323,"218658,4",Milho (em grão)
1100064,Colorado do Oeste (RO),0,200,0,0,0,0,4,19,0,0,380,0,0,0,21,119,818,0,0,0,0,0,0,22,0,0,0,0,2,0,0,0,20,0,0,39,16,0,0,0,40,0,3018,0,20,0,65,0,12380,0,0,0,0,0,0,0,12383,0,0,28,0,0,0,8,0,29602,"23681,6",Soja (em grão)
1100072,Corumbiara (RO),0,425,0,0,0,0,4,4800,0,0,200,0,0,0,2,42,387,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,4,0,0,12,0,0,0,0,0,0,2595,0,0,0,0,0,145577,0,0,0,0,0,0,0,157800,0,0,88,0,0,0,28,0,311977,"249581,6",Soja (em grão)
1100080,Costa Marques (RO),0,235,0,0,0,0,3,0,0,0,348,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,456,8,0,0,0,0,0,3676,0,0,0,0,0,4570,0,0,0,0,0,0,0,1654,0,0,0,0,0,0,25,0,11442,"9153,6",Milho (em grão)
1100098,Espigão D'Oeste (RO),0,250,0,0,0,0,0,360,0,0,538,0,0,0,2,5427,0,0,0,0,0,0,0,34,0,0,0,0,60,0,0,0,13,0,0,0,38,0,0,0,70,0,6154,0,0,0,105,0,4840,0,0,0,0,0,0,0,4320,0,0,128,0,0,0,0,0,22339,"17871,2",Mandioca
1100106,Guajará-Mirim (RO),0,200,15,0,0,0,0,1920,0,0,200,0,0,0,0,203,220,0,0,0,0,0,0,25,0,0,0,0,5,0,0,0,0,0,0,0,45,0,0,0,60,0,6800,0,0,0,160,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,10290,8232,Mandioca
1100114,Jaru (RO),0,133,16,0,0,0,0,0,0,0,1360,0,0,0,1276,421,183,0,0,0,0,0,0,34,0,0,0,0,12,0,0,0,8,0,0,58,23,0,0,0,18,0,23000,0,14,0,432,0,825,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0,0,28421,"22736,8",Mandioca
1100122,Ji-Paraná (RO),0,220,8,0,0,0,1,0,0,0,375,0,0,0,70,204,1724,0,0,0,0,0,0,60,0,0,0,0,2,0,0,0,29,0,0,54,130,0,0,0,63,0,2574,0,118,0,481,0,1421,0,0,0,0,2,0,0,1290,0,0,141,0,0,0,5,0,8972,"7177,6",Mandioca
1100130,Machadinho D'Oeste (RO),0,338,0,0,0,0,10,2040,0,0,2985,0,0,0,184,2907,300,0,0,0,0,0,0,20,0,0,0,0,9,0,0,0,0,18,0,113,90,0,0,0,35,0,14550,0,29,0,760,0,3660,0,0,0,0,9,0,0,58162,0,63,0,0,0,0,7,0,86289,"69031,2",Soja (em grão)
1100148,Nova Brasilândia D'Oeste (RO),0,360,6,0,0,0,2,1,0,0,465,0,0,0,4,18061,0,0,0,0,0,0,0,22,0,0,0,0,32,0,0,0,30,1,0,0,0,0,0,0,155,0,4000,0,165,0,360,0,5001,0,0,0,0,0,0,0,6567,0,0,0,0,0,0,22,0,35254,"28203,2",Café (em grão) Total
1100155,Ouro Preto do Oeste (RO),0,105,0,0,0,0,0,15,0,0,465,0,0,0,769,488,252,0,0,0,0,0,0,37,0,0,0,0,8,0,0,0,0,0,0,85,9,0,0,0,29,0,2200,0,13,0,205,0,7280,0,0,0,0,0,0,0,6600,0,0,137,0,0,0,0,0,18697,"14957,6",Milho (em grão)
1100189,Pimenta Bueno (RO),0,625,0,0,0,0,0,54,0,0,741,0,0,0,2,213,0,0,0,0,0,0,0,112,0,0,0,0,22,0,0,0,0,0,0,91,77,0,0,0,50,0,5856,0,24,0,165,0,4599,0,0,0,0,1,0,0,12468,0,0,140,0,0,0,2,0,25242,"20193,6",Soja (em grão)
1100205,Porto Velho (RO),0,2780,642,0,0,0,5,13250,0,0,19135,0,0,0,123,4330,187,0,0,0,0,0,0,1200,0,0,0,0,310,0,0,0,60,1,0,766,985,0,0,0,588,0,134174,0,244,0,4722,0,73125,0,0,0,0,27,0,0,112000,0,130,271,0,0,0,15,0,369070,295256,Mandioca
1100254,Presidente Médici (RO),0,150,0,0,0,0,2,45,0,0,464,0,0,0,9,166,650,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,44,0,0,73,210,0,0,0,90,0,2960,0,1100,0,25,0,210,0,0,0,0,0,0,0,100,0,45,0,0,0,0,15,70,6433,"5146,4",Mandioca
1100262,Rio Crespo (RO),0,640,0,0,0,0,0,1908,0,0,400,0,0,0,3,219,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2650,0,0,0,90,0,67500,0,0,0,0,0,0,0,119491,0,0,0,0,0,0,64,0,192969,"154375,2",Soja (em grão)
1100288,Rolim de Moura (RO),0,1225,54,0,0,0,5,1500,0,0,1021,0,0,0,19,5607,600,0,0,0,0,0,0,100,0,0,0,0,15,0,0,0,33,3,0,850,42,0,0,0,505,0,5100,0,230,0,425,0,17123,0,0,0,0,15,0,0,15454,0,0,160,0,0,0,1,0,50087,"40069,6",Milho (em grão)
1100296,Santa Luzia D'Oeste (RO),0,0,0,0,0,0,0,0,0,0,465,0,0,0,22,1622,1120,0,0,0,0,0,0,10,0,0,0,0,62,0,0,0,0,0,0,65,0,0,0,0,0,0,1972,0,0,0,30,0,14250,0,0,0,0,0,0,0,21226,0,0,1000,0,0,0,0,0,41844,"33475,2",Soja (em grão)
1100304,Vilhena (RO),0,660,0,0,43890,0,2,1032,0,0,45,0,0,0,1,120,105,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,100,25,0,0,0,27,0,270,0,9,0,44,0,170575,0,0,0,0,0,0,0,160320,0,10,484,0,0,0,4,0,377736,"302188,8",Milho (em grão)
1100320,São Miguel do Guaporé (RO),0,100,30,0,0,0,0,19022,0,0,185,0,0,0,5,44023,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2745,0,185,0,70,0,72602,0,0,0,0,0,0,0,71000,0,0,0,0,0,0,26,0,210005,168004,Milho (em grão)
1100338,Nova Mamoré (RO),0,350,23,0,0,0,20,13825,0,0,1628,0,0,0,0,935,0,0,0,0,0,0,0,8,0,0,0,0,25,0,0,0,0,0,0,60,26,0,0,0,0,0,6300,0,18,0,150,0,18050,0,0,0,0,0,0,0,16344,0,0,49,0,0,0,1,0,57812,"46249,6",Milho (em grão)
1100346,Alvorada D'Oeste (RO),0,78,4,0,0,0,2,450,0,0,551,0,0,0,6,4052,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,31,0,0,32,10,0,0,0,18,0,5080,0,28,0,585,0,2150,0,0,0,0,2,0,0,1336,0,0,165,0,0,0,1,0,14636,"11708,8",Mandioca
1100379,Alto Alegre dos Parecis (RO),0,50,5,0,0,0,3,540,0,0,520,0,0,0,3,22961,450,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,118,0,0,0,80,0,0,0,50,0,860,0,52,0,290,0,12830,0,0,0,0,22,0,0,10771,0,4,350,0,0,0,1,0,50860,40688,Café (em grão) Total
1100403,Alto Paraíso (RO),0,600,80,0,0,0,2,2640,0,0,3000,0,0,0,17,375,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,30,24,0,60,40,0,0,0,95,0,750,0,40,0,800,0,21204,0,0,0,0,3,0,0,84751,0,0,30,0,0,0,6,0,114607,"91685,6",Soja (em grão)
1100452,Buritis (RO),0,250,640,0,0,0,8,5,0,0,13200,0,0,0,743,16290,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,5,0,0,85,50,0,0,0,120,0,9000,0,62,0,720,0,3126,0,0,0,0,0,0,0,2343,0,0,58,0,0,0,3,0,46738,"37390,4",Café (em grão) Total
